1,Which of the following allows a hardware device to work with a computer?,Assembler,Interpreter,Keylogger,Driver,Keylogger
2,"Clicking on an icon and moving it is also called ""___ and drop?""",Dip,Dab,Drag,Dig,Dab
3,In which decade was the American Institute of Electrical Engineers (AIEE) founded?,1850s,1880s,1930s,1950s,1880s
4,The main background of a desktop PC is called what?,Storyboard,Timeline,Desktop,Window,Window
5,Which of the following connections uses fiber optic cables?,Infrared,Wi-Fi,Fios,DSL,Infrared
6,Which metric measures computer processor performance?,CTR,CPC,CPM,CTP,CPM
7,In which decade was the American Institute of Electrical Engineers (AIEE) founded?,1850s,1880s,1930s,1950s,1880s
8,What is part of a database that holds only one type of information?,Report,Field,Record,File,Field
9,OS' computer abbreviation usually means ?,Order of Significance,Open Software,Operating System,Optical Sensor,Operating System
10,.MOV' extension refers usually to what kind of file?,Image file,Animation/movie file,Audio file,MS Office document,Animation/movie file
11,Most modern TV's draw power even if turned off. The circuit the power is used in does what function?,Remote control,Sound,Color balance,High voltage,Remote control
12,Which is a type of Electrically-Erasable Programmable Read-Only Memory?,Flash,Flange,Fury,FRAM,Flash
13,The purpose of choke in tube light is ?,To decrease the current,To increase the current,To decrease the voltage momentarily,To increase the voltage momentarily,To increase the voltage momentarily
14,"Made from a variety of materials, such as carbon, which inhibits the flow of current?",Choke,Inductor,Resistor,Capacitor,Resistor
15,What frequency range is the High Frequency band?,100 kHz,1 GHz,3 to 30 MHz,30 to 300 MHz,3 to 30 MHz
16,The first step to getting output from a laser is to excite an active medium. What is this process called?,Pumping,Exciting,Priming,Raising,Pumping
17,What is the relationship between resistivity R and conductivity s?,R = s2,R=s,R>s,R=1/s,R=1/s
18,Which motor is NOT suitable for use as a DC machine?,Permanent magnet motor,Series motor,Squirrel cage motor,Synchronous motor,Squirrel cage motor
19,What does the term PLC stand for?,Programmable Lift Computer,Program List Control,Programmable Logic Controller,Programmable Logic Controller,Programmable Logic Controller
20,DB' computer abbreviation usually means ?,Database,Double Byte,Data Block,Driver Boot,Database
21,"The sampling rate, (how many samples per second are stored) for a CD is...?",48.4 kHz,"22,050 Hz",44.1 kHz,48 kHz,44.1 kHz
22,In a color television set using a picture tube a high voltage is used to accelerate electron beams to light the screen. That voltage is about...?,500 volts,5 thousand volts,25 thousand volts,100 thousand volts,25 thousand volts
23,What does AM mean?,Angelo marconi,Anno median,Amperes,Amplitude modulation,Amplitude modulation
24,.BAT' extension refers usually to what kind of file?,System file,Compressed Archive file,Audio file,Backup file,System file
25,Name the terminals of a BJT.,"Drain, Gate, Source","Positive, Negative, Neutral","Anode, Cathode, Triode","Emitter, Base, Collector","Drain, Gate, Source"
